Area,Scenario,Expected result,Priority,Required evidence
Install,Clean install and first launch,No Metro; no debug screen; startup < reasonable threshold; release-safe errors,P0,Screenshot/video + logs
Auth,"Email sign-up, verification, sign-in, reset",Correct provider-specific copy and recovery; no dev OTP,P0,Screenshot/video + logs
Auth,Phone sign-in and denied/invalid cases,"Stable keyboard, resend timer, TalkBack labels",P1,Screenshot/video + logs
Onboarding,Choose “add later” without dates,Zero period records; no cycle day/phase/forecast,P0,Screenshot/video + logs
Onboarding,"Enter 1, 2, 3+ real starts",Confidence changes correctly; no fake precision,P0,Screenshot/video + logs
Cycle,Add/edit/delete/undo period,No overlap/future records; server sync matches,P0,Screenshot/video + logs
Cycle,Forecast window passes with no bleeding,No auto-created period; confidence decreases,P0,Screenshot/video + logs
Cycle,Font scale 150% and TalkBack calendar,No clipping; every day and marker announced,P1,Screenshot/video + logs
Wellness,Log mood/symptom/note and leave screen,Save semantics are clear; no data loss,P1,Screenshot/video + logs
Assistant,Open release routes,AI chat absent or clearly labeled guided help,P0,Screenshot/video + logs
Box,Complete personalization and review,No extras preselected; allergies clear; recurrence visible,P0,Screenshot/video + logs
Box,Confirm subscription,Real server quote/order/payment IDs; admin sees it,P0,Screenshot/video + logs
Box,Pause/skip/cancel on second device,Server-authoritative state remains consistent,P0,Screenshot/video + logs
Map,"Zoom, pan, reverse geocode, select exact entrance",Zoom does not reset; address and coordinates match,P0,Screenshot/video + logs
Address,Edit street/house after verified pin,Zone becomes unverified until reconfirmed,P0,Screenshot/video + logs
Delivery,Save address offline then reconnect,Draft retained; retry sync; admin receives one record,P1,Screenshot/video + logs
Delivery,Free delivery quote,Fee always zero and explicitly included in plan,P0,Screenshot/video + logs
Admin boundary,Courier/admin API payloads,"No cycle, symptoms, mood or private notes",P0,Screenshot/video + logs
Notifications,Private mode on lock screen,Only neutral text on supported devices,P1,Screenshot/video + logs
Settings,"Version, security, export, delete account",Version current; claims truthful; server rights work,P0,Screenshot/video + logs
Accessibility,Run Android Accessibility Scanner,No critical touch-target/label/contrast issues,P1,Screenshot/video + logs
Localization,RU/EN/HY on 360dp and 412dp,No truncation or missing keys; meaning consistent,P1,Screenshot/video + logs
Performance,Profile Today/Cycle/Address on low-end Android,No visible jank during scroll/map gestures,P1,Screenshot/video + logs
Recovery,Kill app during form/sync/payment,No duplicate order; draft/state recovery is deterministic,P0,Screenshot/video + logs
Physical Box,Scan packed box against order/batches,"Every item, lot, expiry and substitution traceable",P0,Screenshot/video + logs
