file,line,element,label,action,expectedResult,actualResult,accessibility,status,test,deviceQARequired
app/(tabs)/_layout.tsx,57,Tabs.Screen,,"name=""index"" | options={{ tabBarIcon: ({ focused }) => <TabIcon icon=""home"" label={labels.today} focused={focused} compact={compact} /> }}","Действие соответствует подписи, не дублируется, имеет loading/error/disabled где требуется и не теряет данные.",Статически проиндексировано; route/touch/type/lint guards пройдены. Физическое касание на Android не выполнялось.,"Static 48dp/accessibility guards применены; TalkBack, focus order и реальная hit area требуют Device QA.",STATIC_PASS_DEVICE_QA_REQUIRED,verify:route-integrity; verify:touch-targets; typecheck; lint,YES
app/(tabs)/_layout.tsx,58,Tabs.Screen,,"name=""cycle"" | options={{ tabBarIcon: ({ focused }) => <TabIcon icon=""calendar_month"" label={labels.tracking} focused={focused} compact={compact} /> }}","Действие соответствует подписи, не дублируется, имеет loading/error/disabled где требуется и не теряет данные.",Статически проиндексировано; route/touch/type/lint guards пройдены. Физическое касание на Android не выполнялось.,"Static 48dp/accessibility guards применены; TalkBack, focus order и реальная hit area требуют Device QA.",STATIC_PASS_DEVICE_QA_REQUIRED,verify:route-integrity; verify:touch-targets; typecheck; lint,YES
app/(tabs)/_layout.tsx,59,Tabs.Screen,,"name=""for-you"" | options={{ tabBarIcon: ({ focused }) => <TabIcon icon=""auto_awesome"" label={labels.forYou} focused={focused} compact={compact} /> }}","Действие соответствует подписи, не дублируется, имеет loading/error/disabled где требуется и не теряет данные.",Статически проиндексировано; route/touch/type/lint guards пройдены. Физическое касание на Android не выполнялось.,"Static 48dp/accessibility guards применены; TalkBack, focus order и реальная hit area требуют Device QA.",STATIC_PASS_DEVICE_QA_REQUIRED,verify:route-integrity; verify:touch-targets; typecheck; lint,YES
app/(tabs)/_layout.tsx,60,Tabs.Screen,,"name=""box"" | options={{ tabBarIcon: ({ focused }) => <TabIcon icon=""redeem"" label={labels.box} focused={focused} compact={compact} /> }}","Действие соответствует подписи, не дублируется, имеет loading/error/disabled где требуется и не теряет данные.",Статически проиндексировано; route/touch/type/lint guards пройдены. Физическое касание на Android не выполнялось.,"Static 48dp/accessibility guards применены; TalkBack, focus order и реальная hit area требуют Device QA.",STATIC_PASS_DEVICE_QA_REQUIRED,verify:route-integrity; verify:touch-targets; typecheck; lint,YES
app/(tabs)/_layout.tsx,61,Tabs.Screen,,"name=""lunar"" | options={{ href: null }}","Действие соответствует подписи, не дублируется, имеет loading/error/disabled где требуется и не теряет данные.",Статически проиндексировано; route/touch/type/lint guards пройдены. Физическое касание на Android не выполнялось.,"Static 48dp/accessibility guards применены; TalkBack, focus order и реальная hit area требуют Device QA.",STATIC_PASS_DEVICE_QA_REQUIRED,verify:route-integrity; verify:touch-targets; typecheck; lint,YES
app/(tabs)/_layout.tsx,62,Tabs.Screen,,"name=""wellness"" | options={{ href: null }}","Действие соответствует подписи, не дублируется, имеет loading/error/disabled где требуется и не теряет данные.",Статически проиндексировано; route/touch/type/lint guards пройдены. Физическое касание на Android не выполнялось.,"Static 48dp/accessibility guards применены; TalkBack, focus order и реальная hit area требуют Device QA.",STATIC_PASS_DEVICE_QA_REQUIRED,verify:route-integrity; verify:touch-targets; typecheck; lint,YES
app/(tabs)/box.tsx,191,PrimaryAction,,"label={copy.choose} | icon=""arrow_forward"" | onPress={openSubscription}","Действие соответствует подписи, не дублируется, имеет loading/error/disabled где требуется и не теряет данные.",Статически проиндексировано; route/touch/type/lint guards пройдены. Физическое касание на Android не выполнялось.,"Static 48dp/accessibility guards применены; TalkBack, focus order и реальная hit area требуют Device QA.",STATIC_PASS_DEVICE_QA_REQUIRED,verify:route-integrity; verify:touch-targets; typecheck; lint,YES
app/(tabs)/box.tsx,283,PrimaryAction,,"label={copy.feedback} | icon=""rate_review"" | onPress={() => router.push('/screens/box-feedback')}","Действие соответствует подписи, не дублируется, имеет loading/error/disabled где требуется и не теряет данные.",Статически проиндексировано; route/touch/type/lint guards пройдены. Физическое касание на Android не выполнялось.,"Static 48dp/accessibility guards применены; TalkBack, focus order и реальная hit area требуют Device QA.",STATIC_PASS_DEVICE_QA_REQUIRED,verify:route-integrity; verify:touch-targets; typecheck; lint,YES
app/(tabs)/box.tsx,307,PressScale,{box.paused ? copy.resume : copy.pause},"onPress={pauseSubscription} | style={[styles.secondaryButton, { borderColor: isDark ? 'rgba(255,255,255,0.12)' : LousaPalette.line }]}","Действие соответствует подписи, не дублируется, имеет loading/error/disabled где требуется и не теряет данные.",Статически проиндексировано; route/touch/type/lint guards пройдены. Физическое касание на Android не выполнялось.,"Static 48dp/accessibility guards применены; TalkBack, focus order и реальная hit area требуют Device QA.",STATIC_PASS_DEVICE_QA_REQUIRED,verify:route-integrity; verify:touch-targets; typecheck; lint,YES
app/(tabs)/box.tsx,310,PressScale,{copy.manage},"onPress={openSubscription} | style={[styles.secondaryButton, { borderColor: isDark ? 'rgba(255,255,255,0.12)' : LousaPalette.line }]}","Действие соответствует подписи, не дублируется, имеет loading/error/disabled где требуется и не теряет данные.",Статически проиндексировано; route/touch/type/lint guards пройдены. Физическое касание на Android не выполнялось.,"Static 48dp/accessibility guards применены; TalkBack, focus order и реальная hit area требуют Device QA.",STATIC_PASS_DEVICE_QA_REQUIRED,verify:route-integrity; verify:touch-targets; typecheck; lint,YES
